BRANCH,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,COLLEGES
"AI Artificial
Intelligence",10087,20801,--,9302,--,10041,12213,--,--,7188,--,--,7791,--,--,6935,7979,8653,26148,--,33645,24190,--,33807,E001 University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. )
CE Civil,126281,--,140951,99176,--,110030,95076,--,105256,79965,--,88750,93233,153643,95251,74111,84671,86716,105351,132307,186680,109874,--,129504,E001 University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. )
CS Computers,5809,--,--,5835,7296,6519,7166,--,12625,4749,--,5774,4889,--,5708,4344,6701,5402,20990,28206,29187,15475,16438,20958,E001 University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. )
EC Electronics,15177,--,18548,14878,15407,16522,21600,--,--,10997,--,12440,10574,--,14664,9878,14864,11936,33658,46591,47113,37482,--,52570,E001 University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. )
EE Electrical,41399,--,55688,37226,39400,43302,59169,96469,89610,26321,--,--,28487,--,34904,23821,32204,31736,69595,73849,74966,72997,--,78257,E001 University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. )
IE Info.Science,8789,--,--,7228,--,8133,8098,--,--,5783,--,--,5808,--,--,5695,7193,6198,24284,31375,40322,24799,--,28919,E001 University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. )
ME Mechanical,83509,--,84665,86868,--,107637,104732,--,--,77173,--,82171,89425,119900,115863,64627,75314,80740,139206,180358,169992,145187,188634,170285,E001 University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. )
CE Civil,--,--,--,180953,--,--,183004,--,--,148299,--,--,147143,--,194825,138512,--,161691,174982,--,--,183936,--,--,E002 S K S J T Institute of Engineering. Bangalore
CS Computers,24899,--,--,28336,--,--,--,--,--,23794,--,--,25299,--,25427,23163,24419,--,32790,36626,43970,34511,--,36547,E002 S K S J T Institute of Engineering. Bangalore
EC Electronics,52617,--,--,41255,45413,47267,42146,--,--,37660,--,48919,39124,--,--,35196,42105,39920,64925,--,--,77419,--,--,E002 S K S J T Institute of Engineering. Bangalore
ST Silk Tech.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,196799,--,--,--,--,--,--,--,--,E002 S K S J T Institute of Engineering. Bangalore
TX Textiles,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,199729,--,--,--,--,--,--,--,--,E002 S K S J T Institute of Engineering. Bangalore
CE Civil,46793,--,--,60297,--,--,82145,--,--,53421,--,--,58832,--,--,42640,--,67929,110027,--,149392,79398,--,131971,"E003 B M S College of Engineering Basavanagudi,Bangalore"
EC Electronics,5251,--,8613,6663,14821,8275,14769,--,--,4713,--,--,4420,--,--,3537,6227,6424,24731,47314,35545,30602,--,--,"E003 B M S College of Engineering Basavanagudi,Bangalore"
EE Electrical,25274,--,--,22022,--,27454,19886,--,--,20361,--,--,17692,--,26729,14499,15787,25748,54357,--,92064,51371,80710,109321,"E003 B M S College of Engineering Basavanagudi,Bangalore"
"IM Ind. Engg.
Mgmt.",91460,--,--,95159,--,--,86500,--,183529,66700,--,118275,77886,--,--,55047,118046,86676,139060,--,--,165009,--,--,"E003 B M S College of Engineering Basavanagudi,Bangalore"
ME Mechanical,88894,--,137940,49867,--,74434,39647,--,--,40104,--,--,38650,--,90043,33987,36575,42559,109249,--,--,117491,--,--,"E003 B M S College of Engineering Basavanagudi,Bangalore"
CE Civil,177914,--,--,150060,--,198805,169272,--,--,150413,--,--,152038,--,157959,125360,142751,141647,179911,--,--,201395,--,--,E004 Dr. Ambedkar Institute Of Technology Bangalore
CS Computers,10667,--,--,12279,--,13561,14601,--,--,12629,13444,--,11363,--,12039,10609,11124,11482,26488,--,32872,25706,--,29445,E004 Dr. Ambedkar Institute Of Technology Bangalore
EC Electronics,24078,--,26152,25072,25200,29720,30063,--,--,23049,--,25888,23278,--,24014,20278,22328,23648,56420,71638,69342,64236,79396,71420,E004 Dr. Ambedkar Institute Of Technology Bangalore
EE Electrical,47168,179110,--,46505,--,50472,61072,--,83899,46771,--,--,43120,--,--,40844,42626,44847,91452,--,102416,94085,--,--,E004 Dr. Ambedkar Institute Of Technology Bangalore
"EI Elec. Inst.
Engg",79060,--,--,78757,92830,95956,117081,--,--,60808,--,72850,74691,--,--,58813,84492,67846,168733,--,--,181597,--,--,E004 Dr. Ambedkar Institute Of Technology Bangalore
"ET Elec.
Telecommn. Engg.",76834,--,--,50406,--,52790,83978,--,--,46903,--,--,52316,82972,--,45231,62418,51672,117447,--,--,190978,--,--,E004 Dr. Ambedkar Institute Of Technology Bangalore
"IM Ind. Engg.
Mgmt.",--,--,--,149016,--,--,--,--,--,192913,--,--,--,--,--,137543,--,165761,--,--,--,--,--,--,E004 Dr. Ambedkar Institute Of Technology Bangalore
ME Mechanical,168108,--,--,201605,--,--,172312,--,--,147700,--,--,169259,--,--,131571,141189,135503,189841,--,192619,202565,--,--,E004 Dr. Ambedkar Institute Of Technology Bangalore
"AI Artificial
Intelligence",3358,--,--,2269,4303,--,1169,--,--,1213,--,--,1468,--,2795,1143,3175,2190,11742,--,13967,11268,--,22763,E005 R. V. College of Engineering Bangalore
BT Bio Technology,--,--,--,30927,--,--,--,--,--,17117,--,--,--,--,--,13000,24887,30408,22608,--,--,147804,--,--,E005 R. V. College of Engineering Bangalore
CE Civil,26694,--,--,31724,--,38205,20700,--,--,--,--,--,19240,38667,--,18609,--,30465,46652,--,--,32690,--,--,E005 R. V. College of Engineering Bangalore
CH Chemical,--,--,--,17358,--,--,30330,--,--,19987,--,32880,--,--,--,14949,30808,20760,58987,--,--,--,--,--,E005 R. V. College of Engineering Bangalore
CS Computers,749,--,1226,1092,1672,1429,1100,--,3436,397,--,844,544,--,830,360,1659,800,6380,11447,10358,7132,27929,11075,E005 R. V. College of Engineering Bangalore
"CY CS- Cyber
Security",--,--,--,2593,--,2992,2508,--,--,1954,5075,--,1384,--,--,1339,--,2620,12957,--,26998,8463,--,--,E005 R. V. College of Engineering Bangalore
"DS Comp. Sc. Engg-
Data Sc.",2027,--,--,1779,--,2667,2221,--,--,1382,--,--,1029,--,--,899,2750,1777,10583,--,18082,17030,--,--,E005 R. V. College of Engineering Bangalore
EC Electronics,2562,--,--,3414,10747,6117,5547,--,--,1639,--,--,1838,--,5893,1366,4743,3563,16080,22018,24848,13670,--,20237,E005 R. V. College of Engineering Bangalore
EE Electrical,--,--,24901,7726,--,--,19769,--,34415,--,--,--,6093,--,--,6013,14314,7131,15930,80801,--,25162,--,--,E005 R. V. College of Engineering Bangalore
"EI Elec. Inst.
Engg",26007,--,--,12113,--,--,38954,--,115587,11450,--,--,11425,--,--,6212,--,10981,50729,--,--,69554,--,--,E005 R. V. College of Engineering Bangalore
"ET Elec.
Telecommn. Engg.",--,--,--,6738,--,16284,9975,--,--,--,--,--,5457,--,--,4663,--,12245,34304,--,36070,67522,119357,--,E005 R. V. College of Engineering Bangalore
